city,district,neighborhood,room,living_room,area,age,floor,price,area_per_room
istanbul,sisli,halide_edip_adivar,1,1,70,22,-3,16000,35
istanbul,sisli,19_mayis,2,1,105,22,4,26000,35
istanbul,beykoz,ortacesme,2,1,75,35,1,14000,25
istanbul,cekmekoy,catalmese,2,1,80,8,2,22000,26
istanbul,besiktas,akat,3,1,124,34,6,68000,31
istanbul,sisli,mesrutiyet,3,1,110,21,5,45000,27
istanbul,sisli,mesrutiyet,1,1,80,21,2,55000,40
istanbul,sisli,mesrutiyet,2,1,90,26,1,60000,30
istanbul,beykoz,camlibahce,3,1,130,20,3,23000,32
istanbul,beykoz,tokatkoy,2,1,120,30,3,18000,40
istanbul,sisli,ferikoy,2,1,85,35,-2,28000,28
istanbul,cekmekoy,eksioglu,2,1,75,0,3,22000,25
istanbul,beyoglu,gumussuyu,2,1,65,35,-3,28000,21
istanbul,kadikoy,19_mayis,3,1,135,29,-3,55000,33
istanbul,uskudar,cengelkoy,3,1,145,35,5,65000,36
istanbul,sancaktepe,emek,1,1,72,15,7,35700,36
istanbul,sisli,tesvikiye,3,1,150,45,1,60000,37
istanbul,kadikoy,egitim,3,1,135,35,3,42200,33
istanbul,umraniye,namik_kemal,2,1,70,4,-2,21000,23
istanbul,eyupsultan,gokturk_merkez,1,1,60,1,3,35000,30
istanbul,eyupsultan,mimar_sinan,1,1,75,6,5,40000,37
istanbul,eyupsultan,gokturk_merkez,1,1,60,11,2,45000,30
istanbul,eyupsultan,gokturk_merkez,2,1,105,14,1,50000,35
istanbul,eyupsultan,gokturk_merkez,2,1,100,0,5,57000,33
istanbul,eyupsultan,gokturk_merkez,1,1,55,0,1,35000,27
istanbul,besiktas,dikilitas,1,1,96,15,6,60000,48
istanbul,arnavutkoy,karlibayir,2,1,110,5,3,18000,36
istanbul,beyoglu,hacimimi,1,1,70,50,5,30000,35
istanbul,kagithane,seyrantepe,2,1,90,20,2,40000,30
istanbul,esenyurt,akevler,3,1,130,8,3,25000,32
istanbul,esenyurt,talatpasa,2,1,95,4,3,15000,31
istanbul,umraniye,finanskent,1,1,68,4,4,38000,34
istanbul,maltepe,zumrutevler,2,1,90,1,5,53500,30
istanbul,atasehir,ataturk,3,1,110,13,2,65000,27
istanbul,umraniye,finanskent,2,1,68,1,2,48500,22
istanbul,kadikoy,goztepe,2,1,100,15,3,65000,33
istanbul,kagithane,nurtepe,2,1,70,12,1,20000,23
istanbul,kagithane,merkez,2,1,107,5,1,50000,35
istanbul,kagithane,ortabayir,2,1,75,8,3,26000,25
istanbul,kagithane,celiktepe,2,1,75,4,2,32000,25
istanbul,gaziosmanpasa,karadeniz,1,1,90,10,5,35000,45
istanbul,esenyurt,piri_reis,1,1,73,8,3,15000,36
istanbul,sariyer,ayazaga,2,1,99,15,6,38000,33
istanbul,kadikoy,suadiye,3,1,110,22,3,58000,27
istanbul,beylikduzu,cumhuriyet,1,1,78,3,6,30000,39
istanbul,sariyer,ayazaga,1,1,81,11,7,60000,40
istanbul,sisli,ferikoy,2,1,120,40,4,40000,40
istanbul,kadikoy,caferaga,2,1,80,44,-2,35000,26
istanbul,kadikoy,caferaga,2,1,80,44,-2,35000,26
istanbul,umraniye,istiklal,1,1,65,5,0,28000,32
istanbul,beylikduzu,baris,3,1,145,21,7,24000,36
istanbul,kadikoy,merdivenkoy,3,1,135,31,5,40000,33
istanbul,maltepe,findikli,1,1,58,10,-2,20000,29
istanbul,bayrampasa,altintepsi,2,1,75,0,-2,22000,25
istanbul,tuzla,sifa,3,1,135,16,6,32000,33
istanbul,sultanbeyli,battalgazi,2,1,95,5,3,22750,31
istanbul,uskudar,valide_i_atik,2,1,95,43,3,25000,31
istanbul,bahcelievler,cobancesme,3,1,160,29,2,26000,40
istanbul,besiktas,gayrettepe,2,1,80,40,3,37500,26
istanbul,umraniye,yukari_dudullu,1,1,80,10,2,36000,40
istanbul,sariyer,maden,1,1,60,5,4,40000,30
istanbul,sisli,gulbahar,2,1,95,30,5,20000,31
istanbul,maltepe,zumrutevler,3,1,115,10,4,38500,28
istanbul,besiktas,gayrettepe,3,1,128,45,6,48000,32
