"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","he-lazy-image src 3","listing-card--owner-info__firm-name","listing-card--owner-info__name","list-view-header"
"https://www.hepsiemlak.com/istanbul-besiktas-levazim-kiralik/daire/1094-4967","28","77.000","10-05-2025","Kiralık Daire","3 +
                          1","140 m²","40
                        Yaşında","7. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beşiktaş / Levazım Mah.","https://www.hepsiemlak.com/emlak-ofisi/kamil-emlak-1094/ali-safak-1094","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/9/0/1/0/0/11ab7e73-a441-412f-a151-99aac25ac652.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/9/0/1/0/0/07cbcf88-12b5-49e4-8d0d-71f342688d63.jpg","Kamil Emlak","Ali
          Şafak",""
"https://www.hepsiemlak.com/istanbul-sisli-harbiye-kiralik/daire/29818-433","60","250.000","10-05-2025","Kiralık Daire","3 +
                          1","150 m²","40
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Şişli / Harbiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/bizz-gayrimenkul-29818/hale-ortaaslan-2500105","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/0/1/0/0/5/2/1ee4988a-89ff-445e-b632-e63504875b68.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/8/9/2/0/69968d3d-78e1-45e6-a89a-514c425b4b07.jpg","Bizz Gayrimenkul","Hale
          Ortaaslan",""
"https://www.hepsiemlak.com/istanbul-sisli-halide-edip-adivar-kiralik/daire/35180-1666","19","16.000","10-05-2025","Kiralık Daire","1 +
                          1","70 m²","22
                        Yaşında","Kot 1","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Şişli / Halide Edip Adıvar Mah.","https://www.hepsiemlak.com/emlak-ofisi/vip-emlak-35180","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","","Vıp Emlak","",""
"https://www.hepsiemlak.com/istanbul-sisli-19-mayis-kiralik/daire/35180-1667","27","26.000","10-05-2025","Kiralık Daire","2 +
                          1","105 m²","22
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Şişli / 19 Mayıs Mah.","https://www.hepsiemlak.com/emlak-ofisi/vip-emlak-35180","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/4/9/1/7/5/4/4/4801eca6-1381-468a-9e76-494d0d31902c.jpg","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","Vıp Emlak","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-emek-kiralik/daire/122732-669","60","60.000","09-05-2025","Kiralık Daire","4 +
                          1","215 m²","10
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Sancaktepe / Emek Mah.","https://www.hepsiemlak.com/emlak-ofisi/emlak-istasyonu-122732","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/5/0/4/3/4/4/4/3c8f23d9-8ea1-40ab-a808-e38aa1538c1c.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/7/2/2/1/cf28dca3-770c-4ec3-b79c-32451fe58402.jpg","Emlak İstasyonu","",""
"https://www.hepsiemlak.com/istanbul-beylikduzu-kavakli-kiralik/villa/139520-162","31","75.000","09-05-2025","Kiralık Villa","7 +
                          2","750 m²","25
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beylikdüzü / Kavaklı Mah.","https://www.hepsiemlak.com/emlak-ofisi/1453-gayrimenkul-yatirim-139520","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/5/9/0/0/5/4/4/1745069087079-44500959.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/2/5/9/3/1/ccec5993-1e06-4b8a-b503-c35e258939c0.jpg","1453 Gayrimenkul Yatırım","",""
"https://www.hepsiemlak.com/istanbul-beykoz-ortacesme-kiralik/daire/153656-72","5","14.000","09-05-2025","Kiralık Daire","2 +
                          1","75 m²","35
                        Yaşında","Yüksek Giriş","","","","İstanbul / Beykoz / Ortaçeşme Mah.","https://www.hepsiemlak.com/emlak-ofisi/west-gayrimenkul-ve-danismanlik-153656/gurkan-keles-4330120","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/7/1/0/0/6/4/4/1746774250-7388968-44600172.jpeg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/2/1/0/3/3/4/df6c96ac-9684-4bed-a2b6-d88ba4b4c3d2.jpg","West Gayrimenkul Ve Danışmanlık","Gürkan
          Keleş",""
"https://www.hepsiemlak.com/istanbul-sariyer-zekeriyakoy-kiralik/villa/151395-13","48","150.000","08-05-2025","Kiralık Villa","7 +
                          2","350 m²","14
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Sarıyer / Zekeriyaköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/turna-gayrimenkul-151395/caglar-ocal-4278121","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/2/8/1/6/2/4/4/725ac45d-c23b-4108-92c8-3427dd8e4a63.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/2/1/8/7/2/4/0287a37d-22de-41fb-8059-1fcca024498b.jpg","Turna Gayrimenkul","Çağlar
          Öçal",""
"https://www.hepsiemlak.com/istanbul-sariyer-poligon-kiralik/daire/8272-26694","19","180.000","08-05-2025","Kiralık Daire","2 +
                          1","159 m²","6
                        Yaşında","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Sarıyer / Poligon Mah.","https://www.hepsiemlak.com/emlak-ofisi/mansiontr-8272/ipek-karaca-8272","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/1/1/9/7/5/4/4/7a8abfcf-b3dc-48be-879a-c69d17280133.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/7/2/8/0/0/64147105-e02f-4162-98c1-c0d733ae544e.jpg","Mansıontr","Ipek
          Karaca",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-catalmese-kiralik/daire/54389-2638","13","22.000","08-05-2025","Kiralık Daire","2 +
                          1","80 m²","8
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Çekmeköy / Çatalmeşe Mah.","https://www.hepsiemlak.com/emlak-ofisi/rookz-trend-54389/cihat-emrullah-simsek-1020805","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/1/8/8/2/4/4/4/1743936482813-44428810.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/0/8/0/2/0/1/0746cdd0-e308-4ddf-8213-b5c13909f075.jpg","Rookz Trend","Cihat Emrullah
          Şimşek",""
