"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","wp-btn","listing-card--owner-info__firm-name","he-lazy-image src 3","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-beykoz-pasabahce-kiralik/daire/151552-83","21","50.000","09-05-2025","Kiralık Daire","3 +
                          4","170 m²","25
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Paşabahçe Merkezde Kiralık Daire  Deniz Manzaralı 4+1","İstanbul / Beykoz / Paşabahçe Mah.","https://www.hepsiemlak.com/emlak-ofisi/elegance-gayrimenkul-151552","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/5/5/1/5/1/e5211a85-4d28-456e-ba90-218b9986d765.jpg","Whatsapp","Elegance Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-uskudar-mimar-sinan-kiralik/daire/94746-2676","38","60.000","05-05-2025","Kiralık Daire","2 +
                          1","100 m²","27
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Merkezi Konumda Marmaraya 100 Metre Mesafede          Üsküdar Meydanına, Marmaraya, Metro İstasyonu","İstanbul / Üsküdar / Mimar Sinan Mah.","https://www.hepsiemlak.com/emlak-ofisi/batut-gayrimenkul-94746","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/4/7/4/9/0/2c9705e5-7fb3-4a70-8ac5-9df32168b948.jpg","Whatsapp","Batut Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-uskudar-zeynep-kamil-kiralik/daire/38854-1018","37","32.000","08-05-2025","Kiralık Daire","3 +
                          1","135 m²","40
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Samsun Emlak Üsküdar Zeynep Kamil Mah 3 Oda 1 Salon 120 M2 Son Kat Deniz Manzaralı","İstanbul / Üsküdar / Zeynep Kamil Mah.","","","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-silivri-yeni-kiralik/daire/113826-316","44","17.000","06-05-2025","Kiralık Daire","3 +
                          1","120 m²","25
                        Yaşında","6. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Silivri Yeni Mahalle Aliye Can Önü Güney Cephe 3+1 Kiralık Daire","İstanbul / Silivri / Yeni Mah.","https://www.hepsiemlak.com/emlak-ofisi/hilal-gayrimenkul-113826","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/8/7/8/2/4/4/4/1743960742645-44428785.jpg","Whatsapp","Hilal Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/2/8/3/1/1/6d690b8e-9e1b-4db1-beff-eb7cdcb5ca5c.jpg",""
"https://www.hepsiemlak.com/istanbul-besiktas-mecidiye-kiralik/daire/31303-140608","52","85.000","05-05-2025","Kiralık Daire","2 +
                          1","140 m²","45
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Mete'dn Palanga Cad. Manzaralı,Yenilenmiş,Balkonlu,2+1,132m2,Boş","İstanbul / Beşiktaş / Mecidiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/mete-gayrimenkul-danismanlik-31303/sabri-mete-31303","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/7/5/1/4/4/4/f2619853-facb-454f-974c-176aee897b73.jpg","Whatsapp","Mete Gayrimenkul & Danışmanlık","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/0/3/1/3/0/93f90322-4c54-4fee-9152-aaf10ff40a74.jpg","Sabri
          Mete"
"https://www.hepsiemlak.com/istanbul-adalar-maden-kiralik/daire/153965-6","15","35.000","06-05-2025","Kiralık Daire","1 +
                          1","93 m²","55
                        Yaşında","Bodrum ve Zemin","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ahşap Köşkte Kiralık Sıfır Daire","İstanbul / Adalar / Maden Mah.","https://www.hepsiemlak.com/emlak-ofisi/muyu-gayrimenkul-153965/murat-demir-4336737","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/3/5/8/3/4/4/1742905774560-44385314.jpg","Whatsapp","Muyu Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/3/7/6/3/3/4/ac236687-7c71-4670-bd8f-19014cdf0037.jpg","Murat
          Demir"
"https://www.hepsiemlak.com/istanbul-kartal-atalar-kiralik/daire/124165-960","40","45.000","06-05-2025","Kiralık Daire","3 +
                          1","135 m²","10
                        Yaşında","7. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kartal Atalarda Geniş M2 Arayanlara Marmaraya Ve Sahile Yakın Eşyalı 3+1!!!","İstanbul / Kartal / Atalar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/1/2/6/3/4/4/1742487939019-44362187.jpg","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-bakirkoy-sakizagaci-kiralik/daire/41836-1526","42","25.000","06-05-2025","Kiralık Daire","2 +
                          1","90 m²","40
                        Yaşında","Kot 2","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bakırköy Sakızağacı Mahmarmaray Metro Meydana Sahil Çok Yakın İst Cd 2dk 2+1 85m2 Boş Daire","İstanbul / Bakırköy / Sakızağacı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/8/5/5/3/4/4/ad4bfd5c-d7ef-45a5-9c86-c62fae9fb3fc.jpg","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-beykoz-acarlar-kiralik/villa/91182-1567","39","365.000","04-05-2025","Kiralık Villa","6 +
                          2","650 m²","11
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Tek Yetkili Acarkent'te Güney Cepheli Kiralık Villa","İstanbul / Beykoz / Acarlar Mah.","https://www.hepsiemlak.com/emlak-ofisi/acce-luxury-homes-gayrimenkul-91182","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/0/8/9/2/4/4/3c65adad-84a6-4e65-9fed-18fac9171659.jpg","Whatsapp","Acce Luxury Homes Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/8/1/1/9/0/145a6d2f-90e6-414a-9d9b-37f29f24de4e.jpg",""
"https://www.hepsiemlak.com/istanbul-besiktas-levazim-kiralik/daire/121761-48","53","110.000","08-05-2025","Kiralık Daire","3 +
                          1","135 m²","38
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul Beşiktaş Zorlu Center'a Komşu Kiralık Geniş 3+1 (eşyalı)","İstanbul / Beşiktaş / Levazım Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/2/9/0/2/4/4/7f51deb0-bc1f-4ebf-8475-6b1e79909ae6.jpg","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-esenyurt-inonu-kiralik/daire/134074-159","16","13.000","05-05-2025","Kiralık Daire","2 +
                          1","110 m²","10
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kiralık Daire Esenyurt İnönü Mah","İstanbul / Esenyurt / İnönü Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/4/5/4/6/1/4/4/1739099308213-44164540.jpg","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-avcilar-gumuspala-kiralik/daire/129657-454","33","25.000","03-05-2025","Kiralık Daire","3 +
                          1","160 m²","30
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Avcılar Gümüşpala’da Kentseli Olmayan Çok Temiz 3+1 Kiralık Daire","İstanbul / Avcılar / Gümüşpala Mah.","https://www.hepsiemlak.com/emlak-ofisi/umut-gayrimenkul-avcilar-129657/suat-yilmaz-3281073","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/6/8/6/4/1/4/4/1741513550-228428-44146860.jpeg","Whatsapp","Umut Gayrimenkul Avcılar","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/7/0/1/8/2/3/229b9b54-e841-43a0-b8cd-9e6d7ff6c897.jpg","Suat
          Yılmaz"
"https://www.hepsiemlak.com/istanbul-atasehir-inonu-kiralik/daire/145292-33","25","32.000","08-05-2025","Kiralık Daire","2 +
                          1","100 m²","8
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İnönü Mahallesi 2+1 Kiralık Daire","İstanbul / Ataşehir / İnönü Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/5/3/2/1/4/4/1746120400-820337-44123598.jpeg","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-uskudar-icadiye-kiralik/daire/151416-21","35","59.000","08-05-2025","Kiralık Daire","5 +
                          1","180 m²","25
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Üsküdar İcadiye Mahallesinde 5 + 1  Kiralık Dublek Daire","İstanbul / Üsküdar / İcadiye Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/6/3/8/9/3/4/1f85947e-a12e-4543-852c-2d7e96b3b227.jpg","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-uskudar-zeynep-kamil-kiralik/daire/153107-12","15","20.000","08-05-2025","Kiralık Daire","1 +
                          11","50 m²","30
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Zeynepkamilde 1+1 Düz Giriş Eşyalı 20000 Tl","İstanbul / Üsküdar / Zeynep Kamil Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/9/8/3/4/9/3/4/1735294233528-43943891.jpg","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-beyoglu-purtelas-hasan-efendi-kiralik/daire/29114-1104","18","38.500","09-05-2025","Kiralık Daire","2 +
                          1","75 m²","40
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Beyoğlu Cihangir'de 2+1 Yüksek Giriş Kombili Klimalı 70m2 Full Eşyalı Temiz Kiralık Daire","İstanbul / Beyoğlu / Pürtelaş Hasan Efendi Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/6/3/5/5/4/4/98726ed0-5572-4dc9-9641-539924a96283.jpg","Whatsapp","","",""
