"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-maltepe-cinar-kiralik/daire/66056-10235","25","33.000","06-05-2025","Kiralık Daire","2 +
                          1","90 m²","30
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Küçükyalı Marmaraya 7 Dk Temiz Geni Bahçe Kullanımlı 2+1 Daire","İstanbul / Maltepe / Çınar Mah.","https://www.hepsiemlak.com/emlak-ofisi/kacmaz-emlak-altintepe-66056","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/0/6/6/0/c7a099ad-2bd0-41c5-bcdb-2909d47fa4ba.png","Kaçmaz Emlak Altıntepe",""
"https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-1-kisim-kiralik/daire/32345-11178","20","28.000","11-04-2025","Kiralık Daire","1 +
                          1","88 m²","15
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bahçeşehir Toros Kısa Katlı Bloklar 1+1 Tadilatlı Eşyalı Kiralık Daire","İstanbul / Başakşehir / Bahçeşehir 1. Kısım Mah.","","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-kiralik/daire/7350-10169","20","75.000","24-03-2025","Kiralık Daire","2 +
                          1","120 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Göztepe Kemal Kayacan Sokak Yeni Binada 2+1 Kiralık Daire","İstanbul / Kadıköy / Göztepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/century21-sahra-gayrimenkul-7350","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/5/3/7/0/0/8896c33d-8904-4780-b2a0-daf1b78318d7.jpg","Century21 Sahra Gayrımenkul",""
"https://www.hepsiemlak.com/istanbul-zeytinburnu-kazlicesme-kiralik/daire/27431-10854","22","170.000","06-05-2025","Kiralık Daire","4 +
                          1","234 m²","4
                        Yaşında","7. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Yedi Mavide Kiralık Deniz Manzaralı 3.5+1 Ultra Lüks Daire","İstanbul / Zeytinburnu / Kazlıçeşme Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-sonuc-27431","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/4/0/7/5/4/4/4/1744376117-487712-44457043.jpeg","Remax Sonuç","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/4/7/2/0/8a81acd7-f16d-47e3-9eb3-d2bf7c2c5129.jpg"
"https://www.hepsiemlak.com/istanbul-kadikoy-acibadem-kiralik/daire/80253-899","29","10.000","26-04-2025","Kiralık Daire","Stüdyo","1.000 m²","10
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kadınlara Özel Kadıköy Acıbadem Caddesi Yakını 1/2/4/6 Kişilik Odalar","İstanbul / Kadıköy / Acıbadem Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/9/3/8/4/4/4/1744817956321-44483914.jpg","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-sahintepe-kiralik/daire/0-44557847","14","11.000","05-05-2025","Kiralık Daire","2 +
                          1","100 m²","25
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kiralık Daire","İstanbul / Başakşehir / Şahintepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/8/7/5/5/4/4/1746092785378-44557847.jpg","",""
"https://www.hepsiemlak.com/istanbul-fatih-cibali-kiralik/daire/0-44556567","14","11.500","10-05-2025","Kiralık Daire","2 +
                          1","64 m²","31
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Cibali Unkapanında 2.Ci Kat Daire.....","İstanbul / Fatih / Cibali Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/5/6/5/5/4/4/w3e8tyXJbqQfUAXoRP4Ti.jpg","",""
"https://www.hepsiemlak.com/istanbul-esenyurt-baglarcesme-kiralik/daire/0-44536706","14","17.000","30-04-2025","Kiralık Daire","2 +
                          1","85 m²","10
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Baglarcesme Kiralık Daire","İstanbul / Esenyurt / Bağlarçeşme Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/7/6/3/5/4/4/1745762735147-44536706.jpg","",""
"https://www.hepsiemlak.com/istanbul-sariyer-kirecburnu-kiralik/daire/0-44522963","14","35.000","25-04-2025","Kiralık Daire","1 +
                          1","70 m²","32
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Tarabya'da Eşyalı Kiralık Daire","İstanbul / Sarıyer / Kireçburnu Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/6/9/2/2/5/4/4/1745491865984-44522963.jpg","",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-kanarya-kiralik/daire/130212-264","14","16.000","02-05-2025","Kiralık Daire","3 +
                          1","115 m²","40
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Adress'ten Kanarya Mah. Kiralık 105 M2 3+1 Arakat Daire","İstanbul / Küçükçekmece / Kanarya Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/8/8/0/0/5/4/4/1745068251038-44500881.jpg","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-kiralik/daire/150374-37","14","59.000","03-05-2025","Kiralık Daire","2 +
                          1","80 m²","5
                        Yaşında","13. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Rezidans Ta2+1 Deniz Manzaralı Lux Daire","İstanbul / Kadıköy / Göztepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/8/3/1/4/4/4/4/1744178906117-44441389.jpg","",""
"https://www.hepsiemlak.com/istanbul-sariyer-buyukdere-kiralik/daire/0-44410005","14","37.000","26-04-2025","Kiralık Daire","2 +
                          1","90 m²","33
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Sahibinden Büyükdere Sahilde Kiralık 2+1","İstanbul / Sarıyer / Büyükdere Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/0/0/1/4/4/4/1743541790-0113-44410005.jpeg","",""
"https://www.hepsiemlak.com/istanbul-tuzla-postane-kiralik/daire/0-44346734","14","35.000","07-05-2025","Kiralık Daire","1 +
                          1","59 m²","7
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Tuzla Postane Mahallesi Mercan Sahil Tarafında","İstanbul / Tuzla / Postane Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/7/6/4/3/4/4/1742236085-356669-44346734.jpeg","",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-cumhuriyet-kiralik/daire/133391-78","14","11.950","20-03-2025","Kiralık Daire","1 +
                          1","75 m²","28
                        Yaşında","Zemin","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Küçükcekmece Cumhuriyet Mah Kiralık 1+1 Zemin Kat Bahçeli Daire 65 M2","İstanbul / Küçükçekmece / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/yeni-bir-gayrimenkul-133391","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/4/7/7/2/4/4/8a227855-1032-4f82-9292-1573b48d949f.jpg","Yeni Bir Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/9/3/3/3/1/fe21efda-8ef1-4387-be63-01537f31ef74.jpg"
"https://www.hepsiemlak.com/istanbul-kagithane-merkez-kiralik/daire/43996-24841","30","31.500","05-05-2025","Kiralık Daire","3 +
                          1","120 m²","5
                        Yaşında","Kot 1","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Koyuyeşilden Yeni  3+1   Manaralı   Önu Acık Metro  5 Dk Maxx","İstanbul / Kağıthane / Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/koyuyesil-gayrimenkul-43996","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/0/2/3/5/4/4/c258ab68-05a2-4811-b0d6-d4ddd13eecac.jpg","Koyuyeşil Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/9/9/3/4/0/4a9af117-1bb7-4ce4-bcdb-06dbfa06524d.jpg"
