district,neighborhood,room,living_room,area,age,floor,price,area_per_room
besiktas,levazim,3,1,140,40,7,77000,35
sisli,harbiye,3,1,150,40,4,250000,37
sisli,halide_edip_adivar,1,1,70,22,-3,16000,35
sisli,19_mayis,2,1,105,22,4,26000,35
sancaktepe,emek,4,1,215,10,2,60000,43
beylikduzu,kavakli,7,2,750,25,-1,75000,83
beykoz,ortacesme,2,1,75,35,1,14000,25
sariyer,zekeriyakoy,7,2,350,14,-1,150000,38
sariyer,poligon,2,1,159,6,-2,180000,53
cekmekoy,catalmese,2,1,80,8,2,22000,26
besiktas,akat,3,1,124,34,6,68000,31
sisli,mesrutiyet,3,1,110,21,5,45000,27
sisli,mesrutiyet,1,1,80,21,2,55000,40
sisli,mesrutiyet,2,1,90,26,1,60000,30
beylikduzu,buyuksehir,3,1,110,25,11,27000,27
beykoz,camlibahce,3,1,130,20,3,23000,32
beykoz,tokatkoy,2,1,120,30,3,18000,40
sisli,ferikoy,2,1,85,35,-2,28000,28
uskudar,bahcelievler,4,1,210,0,6,80000,42
cekmekoy,eksioglu,2,1,75,0,3,22000,25
beyoglu,gumussuyu,2,1,65,35,-3,28000,21
esenyurt,piri_reis,1,1,124,8,6,16500,62
kadikoy,19_mayis,3,1,135,29,-3,55000,33
kadikoy,caddebostan,3,1,155,0,6,150000,38
kadikoy,caddebostan,3,1,155,0,6,150000,38
uskudar,cengelkoy,3,1,145,35,5,65000,36
uskudar,beylerbeyi,3,1,145,31,2,135000,36
sancaktepe,emek,1,1,72,15,7,35700,36
sisli,tesvikiye,3,1,150,45,1,60000,37
kadikoy,egitim,3,1,135,35,3,42200,33
umraniye,namik_kemal,2,1,70,4,-2,21000,23
sisli,merkez,2,1,100,3,21,75000,33
besiktas,visnezade,1,1,90,28,3,90000,45
besiktas,dikilitas,4,1,236,15,7,140000,47
eyupsultan,gokturk_merkez,1,0,51,0,3,30000,51
eyupsultan,gokturk_merkez,1,0,50,1,3,31000,50
eyupsultan,gokturk_merkez,2,2,259,12,0,89000,64
eyupsultan,gokturk_merkez,1,0,50,0,2,30000,50
eyupsultan,gokturk_merkez,1,1,60,1,3,35000,30
eyupsultan,mimar_sinan,1,1,75,6,5,40000,37
eyupsultan,gokturk_merkez,1,1,60,11,2,45000,30
eyupsultan,gokturk_merkez,2,1,105,14,1,50000,35
eyupsultan,gokturk_merkez,2,1,100,0,5,57000,33
eyupsultan,gokturk_merkez,2,2,180,12,4,89000,45
eyupsultan,gokturk_merkez,1,1,55,0,1,35000,27
besiktas,levazim,1,1,169,4,3,270000,84
besiktas,levent,3,1,220,15,17,140000,55
besiktas,dikilitas,5,2,550,15,21,360000,78
sisli,tesvikiye,1,1,100,0,8,125000,50
besiktas,dikilitas,4,1,270,10,21,140000,54
kagithane,emniyet_evleri,3,1,250,15,17,140000,62
besiktas,gayrettepe,2,0,154,13,3,130000,77
besiktas,dikilitas,1,1,96,15,6,60000,48
besiktas,nisbetiye,4,1,500,1,13,500000,100
arnavutkoy,karlibayir,2,1,110,5,3,18000,36
beyoglu,hacimimi,1,1,70,50,5,30000,35
sisli,tesvikiye,1,1,97,0,2,120000,48
sisli,tesvikiye,1,1,95,0,1,120000,47
beykoz,anadolu_hisari,3,1,180,30,2,120000,45
sariyer,emirgan,1,1,105,45,1,75000,52
besiktas,levent,5,1,285,50,-1,265000,47
besiktas,dikilitas,5,2,550,15,21,360000,78
kagithane,seyrantepe,2,1,90,20,2,40000,30
esenyurt,akevler,3,1,130,8,3,25000,32
esenyurt,talatpasa,2,1,95,4,3,15000,31
